Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782766925,148567755,37,0,0,0,0.00,1.50
1782766926,148567907,45,0,0,0,0.00,1.25
1782766927,148565766,57,0,0,0,0.00,1.26
1782766928,148533418,55,1,1,0,0.00,1.01
1782766929,148567528,29,1,3,0,0.00,1.00
1782766930,148567262,58,0,1,0,0.00,1.01
1782766931,148566216,58,1,1,0,0.00,1.26
1782766932,148530847,56,1,1,0,0.05,1.26
1782766933,148555686,57,0,0,0,0.00,1.75
1782766934,148570004,68,0,0,0,0.00,1.76
1782766935,148571093,58,0,0,0,0.00,1.50
1782766936,148572234,66,0,0,0,0.00,1.26
1782766937,148565250,59,0,0,0,0.00,2.01
1782766938,148569776,67,1,1,0,0.00,2.02
1782766939,148572115,40,0,0,0,0.00,1.25
1782766940,148564923,51,0,1,0,0.00,1.26
1782766941,148568981,52,1,1,0,0.00,0.51
1782766942,148552205,38,0,1,0,0.00,0.75
1782766943,148564179,70,0,0,0,0.00,1.75
1782766944,148546466,76,1,2,0,0.00,0.51
1782766945,148572920,95,1,1,0,0.00,1.01
1782766946,148570676,88,1,1,0,0.00,1.51
1782766947,148569317,94,0,0,0,0.00,1.26
1782766948,148571812,88,0,0,0,0.00,1.51
1782766949,148569724,94,0,0,0,0.00,1.76
1782766950,148568729,84,0,0,0,0.00,1.52
1782766951,148578725,81,0,0,0,0.00,1.77
1782766952,148582053,133,0,0,0,0.00,2.01
1782766953,148573350,86,0,0,0,0.00,1.01
1782766954,148616158,90,1,1,0,0.00,0.76
1782766955,148564591,96,0,1,0,0.00,2.01
1782766956,148563701,82,0,0,0,0.00,0.76
1782766957,148567915,48,0,0,0,0.00,1.01
1782766958,148565618,48,0,0,0,0.00,1.01
1782766959,148571655,56,0,0,0,0.00,1.01
1782766960,148570400,33,0,0,0,0.00,0.75
1782766961,148570135,40,0,0,0,0.00,1.26
1782766962,148571484,35,0,1,0,0.00,0.50
1782766963,148571480,55,1,1,0,0.00,1.01
1782766964,148567829,53,0,0,0,0.00,1.75
1782766965,148572407,54,0,0,0,0.00,1.26
1782766966,148568444,48,0,0,0,0.00,1.01
1782766967,148570835,42,0,0,0,0.00,1.25
1782766968,148571976,46,0,0,0,0.00,1.00
